date,month,day,day_of_week,week_of_year,weekend_flag,month_end_flag,payday_flag,holiday_flag,product,channel,region,customer_segment,device_type,promo_exposure_flag,campaign_flag,control_change_flag,transaction_count,avg_txn_value,active_customers,new_accounts,login_failures,otp_failures,chargeback_count,fraud_alerts,manual_review_rate,approval_rate,decline_rate,device_risk_score,fraud_rate,fraud_cases,fraud_loss
2026-01-01,1,1,3,1,0,0,1,1,credit_card,branch,east,premium,desktop,0,0,0,483,50.97,230,12,4,6,2,3,0.0211,0.8616,0.1384,0.2733,0.000328,1,77.47
2026-01-01,1,1,3,1,0,0,1,1,credit_card,branch,east,retail,desktop,0,0,0,766,68.13,374,33,12,8,3,6,0.0245,0.8575,0.1425,0.2191,0.000485,1,0.0
2026-01-01,1,1,3,1,0,0,1,1,credit_card,branch,north,premium,desktop,0,0,0,592,38.85,193,14,14,5,1,6,0.0208,0.8455,0.1545,0.2901,0.000345,1,0.0
2026-01-01,1,1,3,1,0,0,1,1,credit_card,branch,north,retail,desktop,0,0,0,851,41.43,381,22,6,7,1,4,0.0137,0.8664,0.1336,0.2338,0.000481,0,0.0
2026-01-01,1,1,3,1,0,0,1,1,credit_card,branch,south,premium,desktop,0,0,0,493,70.9,191,18,10,6,3,4,0.0165,0.8618,0.1382,0.2864,0.000379,1,126.83
2026-01-01,1,1,3,1,0,0,1,1,credit_card,branch,south,retail,desktop,0,0,0,849,30.16,251,31,11,7,4,6,0.0149,0.8671,0.1329,0.2572,0.000506,0,8.23
2026-01-01,1,1,3,1,0,0,1,1,credit_card,branch,west,premium,desktop,0,0,0,579,76.48,180,14,7,10,1,2,0.0211,0.8486,0.1514,0.2356,0.000381,0,0.0
2026-01-01,1,1,3,1,0,0,1,1,credit_card,branch,west,retail,desktop,0,0,0,850,99.55,317,31,15,3,1,11,0.0208,0.8491,0.1509,0.2619,0.000536,1,189.16
2026-01-01,1,1,3,1,0,0,1,1,credit_card,mobile_app,east,premium,ios,0,0,0,2246,66.32,859,20,23,14,2,14,0.0174,0.8645,0.1355,0.3364,0.00054,2,179.01
2026-01-01,1,1,3,1,0,0,1,1,credit_card,mobile_app,east,retail,android,0,0,0,3291,75.72,1359,26,22,17,2,18,0.0211,0.8519,0.1481,0.5175,0.000739,2,288.54
2026-01-01,1,1,3,1,0,0,1,1,credit_card,mobile_app,north,premium,android,0,0,0,2547,52.53,927,22,18,14,2,10,0.0174,0.8572,0.1428,0.5748,0.000583,0,22.1
2026-01-01,1,1,3,1,0,0,1,1,credit_card,mobile_app,north,retail,android,0,0,0,3301,35.42,985,39,20,17,3,24,0.0184,0.8549,0.1451,0.5056,0.000784,7,314.45
2026-01-01,1,1,3,1,0,0,1,1,credit_card,mobile_app,south,premium,ios,0,0,0,2199,60.45,794,10,24,13,1,16,0.0179,0.8623,0.1377,0.3507,0.000611,1,74.53
2026-01-01,1,1,3,1,0,0,1,1,credit_card,mobile_app,south,retail,android,0,0,0,3581,74.21,1411,30,20,10,1,13,0.0219,0.8553,0.1447,0.5304,0.000874,5,525.8
2026-01-01,1,1,3,1,0,0,1,1,credit_card,mobile_app,west,premium,ios,0,0,0,2422,68.92,844,13,24,7,3,11,0.0301,0.8788,0.1212,0.3244,0.000649,3,271.6
2026-01-01,1,1,3,1,0,0,1,1,credit_card,mobile_app,west,retail,ios,0,0,0,3222,74.14,1011,30,23,6,3,15,0.02,0.8584,0.1416,0.3601,0.000939,1,58.91
2026-01-01,1,1,3,1,0,0,1,1,credit_card,web,east,premium,ios,0,0,0,1722,93.43,539,3,18,7,1,10,0.0269,0.8462,0.1538,0.2618,0.000463,2,146.22
2026-01-01,1,1,3,1,0,0,1,1,credit_card,web,east,retail,ios,0,0,0,2953,67.1,1014,34,14,9,3,15,0.0206,0.8676,0.1324,0.2569,0.000649,3,353.63
2026-01-01,1,1,3,1,0,0,1,1,credit_card,web,north,premium,ios,0,0,0,1831,82.69,657,11,5,4,2,3,0.0181,0.8626,0.1374,0.2516,0.00049,0,0.0
2026-01-01,1,1,3,1,0,0,1,1,credit_card,web,north,retail,desktop,0,0,0,1761,106.92,564,20,15,8,2,11,0.0185,0.8587,0.1413,0.2088,0.000664,1,137.22
2026-01-01,1,1,3,1,0,0,1,1,credit_card,web,south,premium,ios,0,0,0,1614,87.63,523,10,8,10,0,7,0.0211,0.8514,0.1486,0.2456,0.000544,1,165.65
2026-01-01,1,1,3,1,0,0,1,1,credit_card,web,south,retail,desktop,0,0,0,1824,117.33,763,27,9,7,4,11,0.0247,0.8675,0.1325,0.3046,0.000778,3,445.91
2026-01-01,1,1,3,1,0,0,1,1,credit_card,web,west,premium,android,0,0,0,1974,63.46,727,16,13,11,0,4,0.0187,0.8401,0.1599,0.3851,0.000566,0,15.89
2026-01-01,1,1,3,1,0,0,1,1,credit_card,web,west,retail,desktop,0,0,0,2192,97.02,1302,29,15,10,1,11,0.0182,0.8571,0.1429,0.3081,0.000799,2,217.13
2026-01-01,1,1,3,1,0,0,1,1,debit_card,branch,east,premium,desktop,0,0,0,426,56.85,184,10,14,3,0,3,0.0194,0.8561,0.1439,0.2542,0.000252,0,0.0
2026-01-01,1,1,3,1,0,0,1,1,debit_card,branch,east,retail,desktop,0,0,0,552,48.63,309,23,12,3,1,7,0.009,0.8577,0.1423,0.2443,0.000343,0,45.92
2026-01-01,1,1,3,1,0,0,1,1,debit_card,branch,north,premium,desktop,0,0,0,464,40.67,291,17,12,5,0,3,0.0192,0.8551,0.1449,0.2326,0.000284,0,20.14
2026-01-01,1,1,3,1,0,0,1,1,debit_card,branch,north,retail,desktop,0,0,0,673,84.66,250,15,12,5,1,7,0.0184,0.8575,0.1425,0.2387,0.000384,1,131.1
2026-01-01,1,1,3,1,0,0,1,1,debit_card,branch,south,premium,desktop,0,0,0,362,66.79,125,16,15,5,3,12,0.0231,0.8519,0.1481,0.2763,0.000315,1,72.15
2026-01-01,1,1,3,1,0,0,1,1,debit_card,branch,south,retail,desktop,0,0,0,702,60.15,367,22,10,5,1,6,0.0245,0.8534,0.1466,0.2608,0.000399,0,0.0
2026-01-01,1,1,3,1,0,0,1,1,debit_card,branch,west,premium,desktop,0,0,0,484,65.6,233,13,10,5,0,6,0.0264,0.8638,0.1362,0.2823,0.000306,0,41.14
2026-01-01,1,1,3,1,0,0,1,1,debit_card,branch,west,retail,desktop,0,0,0,679,48.32,205,20,6,3,2,2,0.0144,0.8583,0.1417,0.2281,0.000416,0,33.0
2026-01-01,1,1,3,1,0,0,1,1,debit_card,mobile_app,east,premium,android,0,0,0,1830,52.23,698,23,16,15,4,6,0.0231,0.8612,0.1388,0.5339,0.000425,0,62.8
2026-01-01,1,1,3,1,0,0,1,1,debit_card,mobile_app,east,retail,android,0,0,0,2950,21.63,921,27,29,4,4,15,0.0189,0.8589,0.1411,0.5367,0.000601,2,49.28
2026-01-01,1,1,3,1,0,0,1,1,debit_card,mobile_app,north,premium,ios,0,0,0,1874,70.02,881,11,18,7,1,10,0.0199,0.8623,0.1377,0.3784,0.000443,2,75.99
2026-01-01,1,1,3,1,0,0,1,1,debit_card,mobile_app,north,retail,ios,0,0,0,2515,60.96,1131,32,25,6,1,18,0.0186,0.8551,0.1449,0.3773,0.000656,3,279.7
